#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
LEP	PLIN1	9606.ENSP00000312652	9606.ENSP00000300055	0	0	0	0	0.540	0	0	0.679	0.846
LEP	PGF	9606.ENSP00000312652	9606.ENSP00000451040	0	0	0	0	0.042	0	0	0.488	0.489
LEP	TNF	9606.ENSP00000312652	9606.ENSP00000398698	0	0	0	0	0	0	0	0.892	0.892
LEP	NPY	9606.ENSP00000312652	9606.ENSP00000384364	0	0	0	0	0	0	0	0.996	0.996
LEP	LEPR	9606.ENSP00000312652	9606.ENSP00000330393	0	0	0	0	0.042	0.641	0.900	0.999	0.999
LEPR	OSM	9606.ENSP00000330393	9606.ENSP00000215781	0	0	0	0	0	0	0.650	0.484	0.811
LEPR	PLIN1	9606.ENSP00000330393	9606.ENSP00000300055	0	0	0	0	0.048	0	0	0.568	0.571
LEPR	TNF	9606.ENSP00000330393	9606.ENSP00000398698	0	0	0	0	0	0	0	0.534	0.534
LEPR	NPY	9606.ENSP00000330393	9606.ENSP00000384364	0	0	0	0	0	0	0	0.862	0.862
LILRB4	TNF	9606.ENSP00000375616	9606.ENSP00000398698	0	0	0	0	0.135	0	0	0.348	0.412
LTBP3	MSTN	9606.ENSP00000301873	9606.ENSP00000260950	0	0	0	0	0	0.045	0	0.859	0.860
MET	SEMA3F	9606.ENSP00000317272	9606.ENSP00000002829	0	0	0	0	0.084	0.250	0	0.226	0.422
MET	TNF	9606.ENSP00000317272	9606.ENSP00000398698	0	0	0	0	0	0.057	0	0.651	0.657
MET	PGF	9606.ENSP00000317272	9606.ENSP00000451040	0	0	0	0	0	0	0.650	0.395	0.779
MET	PLXNB2	9606.ENSP00000317272	9606.ENSP00000352288	0	0	0	0.551	0.060	0.314	0.900	0.419	0.957
MFAP5	TNF	9606.ENSP00000352455	9606.ENSP00000398698	0	0	0	0	0.049	0	0	0.429	0.433
MOG	TNF	9606.ENSP00000366091	9606.ENSP00000398698	0	0	0	0	0.052	0	0	0.608	0.613
MSTN	TNF	9606.ENSP00000260950	9606.ENSP00000398698	0	0	0	0	0.056	0	0	0.519	0.526
MSTN	WFIKKN2	9606.ENSP00000260950	9606.ENSP00000311184	0	0	0	0	0.048	0.095	0	0.919	0.924
NPY	OXT	9606.ENSP00000384364	9606.ENSP00000217386	0	0	0	0	0	0	0	0.849	0.849
NPY	SCG3	9606.ENSP00000384364	9606.ENSP00000220478	0	0	0	0	0.107	0	0	0.574	0.603
NPY	TNF	9606.ENSP00000384364	9606.ENSP00000398698	0	0	0	0	0	0	0	0.677	0.677
OSM	TNFRSF9	9606.ENSP00000215781	9606.ENSP00000478699	0	0	0	0	0.056	0	0	0.451	0.459
OSM	TNF	9606.ENSP00000215781	9606.ENSP00000398698	0	0	0	0	0.289	0	0	0.620	0.718
OXT	TNF	9606.ENSP00000217386	9606.ENSP00000398698	0	0	0	0	0	0	0	0.419	0.418
PGF	SEMA3F	9606.ENSP00000451040	9606.ENSP00000002829	0	0	0	0	0.085	0	0	0.466	0.490
PGF	TNF	9606.ENSP00000451040	9606.ENSP00000398698	0	0	0	0	0	0	0	0.571	0.571
PI3	TNFRSF1A	9606.ENSP00000243924	9606.ENSP00000162749	0	0	0	0	0.060	0	0	0.491	0.501
PI3	TNF	9606.ENSP00000243924	9606.ENSP00000398698	0	0	0	0	0.062	0	0	0.659	0.666
PLAT	TNF	9606.ENSP00000220809	9606.ENSP00000398698	0	0	0	0	0.074	0.066	0	0.601	0.625
PLIN1	TNF	9606.ENSP00000300055	9606.ENSP00000398698	0	0	0	0	0.088	0	0	0.397	0.426
PLXNB2	SEMA3F	9606.ENSP00000352288	9606.ENSP00000002829	0	0	0	0	0.095	0.186	0	0.493	0.594
SIGLEC1	TNFRSF9	9606.ENSP00000341141	9606.ENSP00000478699	0	0	0	0	0	0	0	0.421	0.420
SIGLEC1	TNF	9606.ENSP00000341141	9606.ENSP00000398698	0	0	0	0	0.141	0	0	0.476	0.530
SIGLEC1	VSIG4	9606.ENSP00000341141	9606.ENSP00000363869	0	0	0	0	0.425	0	0	0.234	0.540
TNF	TNFRSF1A	9606.ENSP00000398698	9606.ENSP00000162749	0	0	0	0	0.044	0.999	0.900	0.999	0.999
TNF	TNFRSF10B	9606.ENSP00000398698	9606.ENSP00000276431	0	0	0	0	0.047	0	0	0.997	0.997
TNF	UMOD	9606.ENSP00000398698	9606.ENSP00000379438	0	0	0	0	0.060	0.071	0	0.691	0.707
TNF	TNFRSF9	9606.ENSP00000398698	9606.ENSP00000478699	0	0	0	0	0.167	0	0	0.788	0.816
TNFRSF10B	TNFRSF1A	9606.ENSP00000276431	9606.ENSP00000162749	0	0	0	0.564	0.062	0.448	0	0.719	0.842
TNFRSF10B	TNFRSF9	9606.ENSP00000276431	9606.ENSP00000478699	0	0	0	0	0.050	0	0	0.433	0.438
TNFRSF1A	TNFRSF9	9606.ENSP00000162749	9606.ENSP00000478699	0	0	0	0	0	0	0	0.823	0.823
